NO2 measurements at station level  ;;;;;;;;;;;;;;;;;;;;
NO2: annual mean concentrations and exceedance flag;;;;;;;;;;;;;;;;;;;;
"above_LV? = 1 if round(statistic_value,0) > 40; round(statistic_value,0) means that statistic_value is rounded to an integer value";;;;;;count_type_by_city: count of station of the same type (traffic or background) within the same city. Note: one station_european_code can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;;;;
above_LV? = 0 if round(statistic_value,0) <= 40;;;;;;in the case of a traffic station: assigned_population=(UA_city_pop*percentage_taffic_population/100)/count_type_by_city;;;;;;;;;;;;;;
;;;;;;in the case of a background station: assigned_population=(UA_city_pop*percentage_background_population/100)/count_type_by_city;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
station_european_code;type_of_station;station_type_of_area;component_caption;component_name;measurement_unit;measurement_european_group_code;statistics_year;statistic_shortname;statistic_value;statistics_percentage_valid;above_LV?;country_iso_code;country_name;city_name;city_code;UA_city_pop;percentage_traffic_population;percentage_background_population;count_type_by_city;assigned_population
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1991;Mean;35,499;94,703;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1992;Mean;38,44;95,594;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1993;Mean;38,839;95,685;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1994;Mean;29,433;94,623;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1995;Mean;26,289;95,822;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1996;Mean;26,701;94,057;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA11;Traffic;urban;NO2;Nitrogen dioxide (air);µg/m3;500;1997;Mean;23,343;94,966;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
